UV,catégorie,titre,diplome,mineur,C,Cvolume,TD,TDvolume,TP,TPvolume,THE,THEvolume,PRJ,PRJvolume,ENT,ENTvolume,STG,STGvolume,periode1,periode2,antécédent,commentaires,credits,langues,objectif1,objectif2,objectif3,objectif4,objectif5,objectif6,objectif7,programme1,programme2,programme3,programme4,programme5,programme6,programme7,programme8,programme9,programme10,programme11
CL07,TM,Soutien logistique intégré et service après-vente,UV ing.,,C,28 h,TD,28 h,,,THE,94 h,PRJ,40 h,,,,,Automne,,,,6 crédits,FRA,Le soutien logistique d¿un système complexe permet de le maintenir en conditions opérations opérationnelles. Son intégration dès la conception permet de maîtriser le coût global de possession et la disponibilité opérationnelle.,,,,,,,comprendre les méthodes d'analyse et de conception des systèmes complexes,modéliser et évaluer les performances d'un système complexe,modéliser et optimiser un réseau logistique de maintenance,dimensionner les stocks de pièces de rechange,analyser et calculer un coût global de possession,,,,,,
CL10,TM,Mobilité et logistique urbaine ,UV ing.,,C,28 h,TD,28 h,TP,15 h,THE,79 h,PRJ,30 h,,,,,Automne,,MT14,Ouverte à l'alternance,6 crédits,FRA,identifier et analyser les problématiques de mobilité et de transports en zones urbaines,modéliser les flux de personnes et marchandises dans les zones urbaines,obtenir les solutions de transport adaptées aux problèmes identifiés,découvrir les nouvelles technologies liées à la mobilité urbaine ,,,"savoir concevoir, planifier et optimiser les lignes de transport en commun",comprendre l'utilité de l'IA et traitement des données massives pour la gestion de trafic,savoir optimiser les livraisons de dernier kilomètre (problèmes de tournées de véhicules avec fenêtres de temps),"savoir modéliser les différentes problématiques liées au e-commerce (Problèmes de tournées généralisées, problèmes de tournées couvrantes)",comprendre les liens entre les plateformes logistiques et le choix de types de livraison adaptés (Problèmes de tournées 2-échelons),"identifier et diminuer les impacts écologiques du transport urbaine (Tournées de véhicules électriques, Localisation des stations de recharge)","comprendre les avancées technologiques en terme de moyens de transport (véhicules autonomes, drones)","concevoir et programmer des algorithmes d'optimisation et/ou d'IA pour les différents types de problèmes (Réseaux de neurones, algorithmes génétiques)",,,,
CM02,CS,"Structure, propriétés et réactivité des matériaux organiques",UV ing.,,C,28 h,TD,28 h,TP,24 h,THE,70 h,,,,,,,Automne,,,,6 crédits,FRA,"Les matériaux organiques sont utilisés dans de nombreux secteurs industriels (automobile, aéronautique, construction, textile...). L'objectif est d'aborder les connaissances fondamentales permettant de comprendre leur synthèse, structure et propriétés.",,,,,,,savoir identifier les effets électroniques et comprendre leur influence sur la réactivité des molécules ,savoir exprimer la loi cinétique et comprendre le mécanisme électronique d¿une réaction ,découvrir les principales réactions de synthèse des macromolécules (additions et substitutions) ,"comprendre la relation entre les propriétés structurales (mésomérie, interactions intermoléculaires, stéréochimie) et physico-chimiques des polymères (thermomécaniques, électriques, énergie de surface)",Un projet avec une approche problème sera proposé,,,,,,
CM03,CS,"Structures, propriétés et réactivité des solides métalliques",UV ing.,,C,28 h,TD,28 h,TP,24 h,THE,70 h,,,,,,,Printemps,,,Produit de solubilité atomistique,6 crédits,FRA,"En raison de leurs propriétés redox et mécaniques, les matériaux métalliques sont utilisés dans de nombreux systèmes industriels. Leur étude est actuellement un enjeu majeur (durée de vie des alliages, voitures électriques, informatique portative,...)",,,,,,,être capable de prévoir la corrosion/protection d'un métal dans un milieu aqueux oxygéné,savoir mesurer et calculer une vitesse de corrosion,savoir mettre en ½uvre des stratégies anticorrosion ,connaitre les différents dispositifs de stockage d'énergie électrique,"être capable de décrire les métaux, oxydes et hydroxydes métalliques sous une approche cristallographie",être capable d'analyser un spectre de diffraction X simple,,,,,
CM10,CS,Physico-chimie appliquée à l'ingénierie,UV ing.,,C,28 h,TD,28 h,TP,18 h,THE,76 h,,,,,,,Automne,,,Maîtrise du francçais : ** niveau C1,6 crédits,FRA,"La transformation de la matière est un enjeu essentiel dans de nombreux processus industriels. L'objectif de de cette UE, est d'apprendre à décrire un système physicochimique, de prévoir et modéliser son évolution, et de quantifier la matière produite dans des contextes variés comme l'alimentation, l'utilisation de produits ",d'usages courants ou dans des processus industriels.,,,,,,"comprendre et acquérir les connaissances, les concepts et modèles de base en physico­chimie",être capable de décrire et de prévoir la réactivité d'un système chimique qualitativement et quantitativement dans des contextes variés,choisir et mettre en ½uvre des méthodes d'analyse chimique et de caractérisation pertinentes de produits ,d'usages courants,apprendre à respecter les règles d'hygiène et de sécurité en laboratoire,,,,,,
CS01,TM,Analyse de la valeur sous fortes contraintes,UV ing. ou UV mast.,,C,28 h,TD,28 h,TP,15 h,THE,79 h,PRJ,55 h,,,,,Automne,,,pédagogie selon le principe d'un cours renversé pour CM|,6 crédits,FRA,"L'exigence de concevoir des systèmes en parfaite adéquation avec l'environnement économique, environnemental et socio-culturel requiert de mesurer et maîtriser la valeur de systèmes technologiques sous fortes contraintes. ",,,,,identifier et caractériser un environnement multi-contraint (étapes 1 et 2 de l'Analyse de la valeur AV),maîtriser les méthodes d'analyse fonctionnelle et d'analyse des coûts pour caractériser le juste nécessaire    d¿un système sous fortes contraintes (étape 3 de l'AV),"maîtriser des méthodes de maquettages et de résolution de problèmes sous fortes contraintes (étapes 1,4 à 6 de l'AV)",maîtriser les méthodes d¿analyse multicritères pour décider et implémenter une proposition technologique sous fortes contraintes d¿un point de vue opérationnel et managérial (étapes 6 et 7 de l'AV),,,,,,,,,
CS01A,TM,Value Analysis under extreme constraints,UV ing.,,C,28 h,TD,28 h,,,THE,94 h,,,,,,,Automne,,,,6 crédits,FRA,"The need to design systems in perfect harmony with the economic, environmental and socio-cultural environment requires the measurement and control of the value of technological systems under extreme constraints.",,,,,,identify et specify a multi-constrained environment (steps 1 and 2 of value analysis VA),master the methods of functional analysis and cost analysis to specify the just necessary of a system under extreme constraints (Step 3 of VA),"master methods of modeling and problem solving of systems under extreme constraints (steps 1,  4 to 6 of VA)",master the methods of multi-criteria analysis to decide and implement a technological proposal under extreme constraints according to operational and managerial point of view (steps 6 and 7 of VA),,,,,,,,
CS03,TM,Conduite de projets,UV ing. ou UV mast.,,C,28 h,TD,21 h,TP,6 h,THE,90 h,,,,,,,Automne,,,Maîtrise du français :** niveau C1|,6 crédits,FRA,rédaction de cahier des charges ,types et organisations de projets,"préparation d'un business plan détaillé,ordonnancement déterministe et stochastique","estimation et contrôle des coûts, gestion des risques","exposés industriels, étude de cas réels, utilisation du logiciel MS-Project",rédiger le cahier des charges d'un projet,Faire un business plan détaillé,concevoir et animer un équipe projet,réaliser une planification complète et optimisée prenant en compte les ressources disponibles,"analyser les risques, les freins et les opportunités",piloter et suivre le déroulement du projet,faire le bilan et clôturer un projet,,,,,,
CS05,TM,Dimensionnement économique de composants,UV ing.,,C,28 h,TD,28 h,,,THE,94 h,,,,,,,Printemps,,,Intervenants extérieurs supérieur à 15%*,6 crédits,FRA,Analyser les coûts d'un composant à différentes étapes de son cycle de vie en intégrant des notions de choix des procédés liés aux matériaux.,,,,,,,maîtriser le choix des procédés et des matériaux (méthode d'Ashby),"savoir décrire finement le cahier des charges d'un composant (Mécaniquement, thermiquement, chimiquement, etc.)",maîtriser le dimensionnement économique d'une structure en combinant les interactions matériaux/procédés,savoir justifier des choix en prenant en compte des éléments techniques et économiques,,,,,,,
CS06,TM,Projet transversal ingénierie système/concours robotique,UV ing.,,C,20 h,,,,,THE,130 h,PRJ,60 h,,,,,Printemps,,,UE réalisée à Reims,6 crédits,FRA,"identifier et appréhender un problème comme un tout et cela aussi bien par ses caractéristiques structurelles, fonctionnelles qu'environnementales",adopter une approche système ainsi qu'à déployer des modèles associés le cadre d'un projet soumis par une entreprise ou d'un challenge robotique,,,,,"modélisation des spécifications, analyse de code et vérification & validation (Model-Checker), FAST, SysML,","SADT, ISO 26262, automates à états","étude de normes IEEE1220, EIA632, ISO15288",prise en compte de la pensée système accompagnant l'IS,"présentation de méthodes génériques d'analyse, de synthèse et de conception, cycle en V",répartition des étudiants en équipes projet,"analyse et gestion, réalisation et présentation des résultats d'un projet soumis par une entreprise partenaire ; réalisé dans le cadre d'un challenge robotique (Concours RobAFIS, Coupe de France de Robotique) ; de type R&D fourni par un laboratoire de recherche",,,,,
CS21,TM,Conception des systèmes complexes,UV ing.,,C,14 h,TD,14 h,TP,68 h,THE,54 h,,,,,,,Printemps,,,ouverte à l'alternance,6 crédits,FRA,L'objectif est de présenter une vision intégrée des différentes technologies à mettre en ½uvre dans un contexte collaboratif pour la réalisation d'un système mécanique complexe.,,,,,,,"intégration de contraintes environnementales en conception (cycle de vie, aspect normatif, méthode d'analyse et de décision en conception)","transmission de puissance hydrostatique (schéma hydraulique, fonctionnement, dimensionnement)","transmissions de puissance alternatives (hybrides, hydrostatique, électrique)","mettre en ½uvre une conduite de projet de conception et de dimensionnement de systèmes mécaniques complexes, avec des méthodes collaboratives dans un contexte de bureau d'études.",,,,,,,
CS22,TM,Industrialisation des systèmes mécaniques,UV ing.,,,,TD,70 h,,,THE,80 h,PRJ,75 h,,,,,Automne,,"CS21, pour les GM",,6 crédits,FRA,Le projet vise à construire collectivement un dossier d'industrialisation à partir d'un dossier de définition fourni préalablement.,nomenclature PDM,choix des procédés et définition adaptée au procédé,gammes de fabrication et d'assemblage,"dimensionnement des cadences et flux de production, implantation",règlementations à respecter et analyse des risques procédés (Environnement et sécurité),stratégie de développement industriel à 20 ans,"définir et organiser le projet d'industrialisation (choisir les procédés, concevoir les modes opératoires,","organiser l'usine pour assumer les cadences, évaluer les risques sur des contraintes règlementaires en",sécurité et environement),définir le périmètre du projet et les contraintes et expertises à intégrer,"coordonner l'activité d'équipe, établir un cahier des charges, réaliser des choix technologiques",collecter des informations techniques et de veille prospective,définir une prospective techniques (projet de développement),,,,
CTC1,CT,"Cinéma, technologie et création",UV ing.,,,,TD,42 h,,,,,,,,,,,Printemps,,,Intervenants extérieurs supérieur ou égail à 75%***,4 crédits,FRA,"Réalisation d'un film à partir du scénario écrit par les étudiants de l'UV LI03 (Art du récit, écriture de scénario), après avoir constitué une équipe où chacun a un rôle défini : jeu d'acteur, choix du décor, scripte, régie, éclairage, demande d¿autorisations, planning de tournage, gestion d'équipe, etc.",,,,,,,"intégrer différents types de contraintes (techniques, artistiques, organisationnelles) dans la réalisation d'un film","utiliser le langage audiovisuel et s'exprimer devant la caméra, avec confiance en soi",réaliser un court-métrage vidéo,,,,,,,,
DI03,CS,Diagnostic et sûreté de fonctionnement,UV ing.,,C,28 h,TD,14 h,TP,18 h,THE,90 h,,,,,,,Automne,,,UE réalisée à Reims,6 crédits,FRA,formaliser les méthodes de diagnostic et montrer comment elles peuvent être automatisées pour détecter et localiser des défauts    ,étudier les techniques d'analyse de la sûreté de fonctionnement des systèmes ,,,,,"terminologie et définitions  (défaut, défaillance, disponibilité, maintenabilité,...)",méthodes de génération d'équations de redondance,méthodes à base d'observateurs pour la détection et la localisation des défauts,placement de capteurs en vue de la détection et l'isolation des défauts,approches statistiques et tests d'hypothèses,"analyse des Modes de Défaillance, de leurs Effets et de leur Criticité",arbres de défaillances et diagramme de décision binaire,,,,,
DS01,TM,Design,UV ing.,,C,28 h,TD,28 h,,,THE,94 h,PRJ,40 h,,,,,Automne,,,Maîtrise du français : *** niveau C2 |Intervenants extérieurs supérieur à 40% **,6 crédits,FRA,Se familiariser avec les concepts et la démarche du design :,histoire du design et principaux courants,"management de la créativité. Ccontraintes liées à l'esthétique (forme, couleurs), aux matériaux utilisés (recyclabilité, impact des choix en conception de produits) et aux coûts",élements de sociologie et de psychologie du design ,éléments sensoriques,éléments de packaging,,Analyser un objet sous l'angle du design :,concevoir et obéir à un cahier des charges,travailler et être créatif en groupe (management du design),maîtriser les outils : diagramme pieuvre et ternaire ; bête à corne ; planche de tendance ; CAO d'un objet et mise en situation dans un environnement virtuel ; élaborer et analyser un sondage,adapter un objet à une cible commerciale,produire une ébauche de plan marketing  ,connaître les éléments de propriété intellectuelle en design,,,,
EA01,CS,Automatique et asservissement,UV ing.,,C,28 h,TD,28 h,TP,20 h,THE,74 h,,,,,,,Printemps,,,,6 crédits,FRA,"être capable de maîtriser les concepts et les outils de l'automatique, de la régulation et de l'asservissement",être capable d'analyser ou de commander un système automatisé,,,,,"savoir mettre en oeuvre un système utilisant de l'automatique séquentielle (via grafcet, tableaux de Karnaugh...)",connaître la technologie des systèmes automatisés (automate programmable...),savoir résoudre un problème dynamique en utilisant la transformée de Laplace,"connaître, identifier et mettre en oeuvre les asservissements linéaires analogiques et les schéma bloc","savoir calculer des fonctions de transfert, représenter leur comportement via les diagrammes de Bode, Nyquist et/ou Black",savoir proposer une correction des systèmes asservis répondant à un cahier des charges donné,,,,,,
EA04,TM,"Capteurs, mesure et asservissement numérique",UV ing.,,C,28 h,TD,21 h,TP,28 h,THE,73 h,,,,,,,Printemps,,EA01,Maîtrise du français : ** niveau C1|,6 crédits,FRA,"Les capteurs sont présents dans l'essentiel des outils technologiques (mesures de grandeurs physiques, chimiques, ou biochimiques), et sont nécessaires à l'asservissement d'un système, notamment mécanique, via un conditionnement et un interfaçage.",,,,,,,"connaître la métrologie (mesures de grandeurs physiques) des systèmes industriels: étalons, incertitudes, modélisation statistique",savoir conditionner et acquérir un signal pour le traiter numériquement,savoir asservir numériquement un système mécanique(via un Arduino),pouvoir interfacer un capteur par LabVIEW,"au travers de séminaires donnés par des industriels, comprendre les enjeux techniques et applicatifs de familles de capteurs",savoir choisir et dimensionner un capteur pour une application donnée ,,,,,
EA07,CS,Actionneurs électriques,UV ing.,,C,28 h,TD,28 h,TP,16 h,THE,78 h,PRJ,78 h,,,,,Automne,,,Connaissance des circuits simples en continu et alternatif|conseillée|Niveau français : * niveau B2,6 crédits,FRA,"Connaître, comprendre et apprendre à utiliser les différents types d¿actionneurs électromagnétiques ou piézoélectriques employés, par exemple, pour concevoir des systèmes de production automatisés ou des robots",,,,,,,connaitre les principes physiques sur lesquels sont basés les actionneurs électromagnétiques et les phénomènes,physiques associés,"savoir utiliser les notices des constructeurs pour calculer l'évolution des grandeurs mécaniques, électriques et",thermiques,savoir rédiger un cahier des charges pour la mise en place d'un actionneur avec son alimentation et son pilotage,connaître les modélisations simplifiées des actionneurs et savoir identifier les paramètres du modèle à partir des notices constructeur ou bien de mesures expérimentales,être capable de proposer des modes de fonctionnement non standards pour des actionneurs donnés,savoir mettre en oeuvre des asservissements numériques pour piloter les actionneurs,,,
EA08,TM,Mise en ½uvre de Systèmes mécatroniques,UV ing.,,C,28 h,TD,28 h,TP,20 h,THE,74 h,PRJ,8 h,,,,,Printemps,,,Maîtrise du français : * niveau B2,6 crédits,FRA,"Savoir définir, choisir et mettre en ½uvre les matériels automatiques/électroniques accompagnants les systèmes mécatroniques/robotiques",,,,,,"étudier différentes technologies de systèmes électroniques,",approfondir les aspects électriques,"savoir intégrer ces composants électroniques dans un système mécanique et gérer les problèmes interférences/isolations (thermiques, électriques, magnétiques,...)",compléter ces connaissances en automatique séquentiel,"réaliser un projet de conception et réalisation d'un prototype mécatronique (petits véhicules robotisés, systèmes automatisés,...)",savoir asservir numériquement un système mécanique (via un Arduino),,,,,,
EB01,TM,Microcontrôleurs et DSP,UV ing.,,C,24 h,TD,20 h,TP,39 h,THE,67 h,PRJ,27 h,,,,,,,,UE réalisée à Reims,6 crédits,FRA,maîtriser les microcontrôleurs dans les applications des systèmes embarqués,approfondir les connaissances de la programmation en C de manière portable et proche du matériel,,,,,langage C (niveau avancé),"architectures des microcontrôleurs et des DSP, spécificités, virgule fixe, virgule flottante","programmation en langage évolué, utilisation ponctuelle d'assembleur, observation du code, optimisations",notion de test unitaire,"interruptions, gestion du temps",notions d'implémentation multitâches,"applications, mise en ½uvre d'algorithmes de traitement du signal",gestion de la consommation,"bus d'interconnexion : SPI, DCI, I2C, CAN, JTAG, LIN, RS232",mini projet de conception d'un système à base de microcontrôleur de type dsPIC (Microchip),,
EB02,TM,Prototypage rapide,UV ing.,,C,28 h,TD,12 h,TP,36 h,THE,74 h,,,,,,,Automne,,,UE réalisée à Reims,6 crédits,FRA,acquérir des compétences sur les méthodes de prototypage rapide et les outils associés,développer des applications de contrôle-commande sur processeurs spécialisés,développer des applications à base de circuits logiques programmables,connaître les solutions de développement en VHDL et/ou graphiques,,,méthodologies,"techniques SIL, PIL et HIL",outils pour le prototypage rapide ,processus de développement d'applications embarquées,mise en oeuvre sur microprocesseurs spécialisés,"architectures des circuits logiques programmables (PAL, GAL, PLD,...) ASIC et FPGA","notions de SOC (System On Chip), Processeur softcore","conception, simulation (VHDL, notions de System C)",mise en oeuvre avec Quartus II (Altera),développement d'un projet autour du FPGA,,
EB03,TM,Services mobiles et communicants,UV ing.,,C,20 h,TD,12 h,TP,36 h,THE,82 h,,,,,,,Automne,Printemps,LO02,UE réalisée à Reims|Maîtrsie du français : ** niveau C1,6 crédits,FRA,développement d'OS pour les systèmes embarqués,mise en ½uvre d'applications embarquées incluant des services mobiles,,,,,présentation des outils de développement logiciels pour l'embarqué,"caractéristiques d'une application embarqué : légèreté, modularité, connectivité",programmation d'interface opérateur et de commande en temps réel sous Windows CE,programmation d'application embarquée sous Android,"navigation, géolocalisation, Satellitaire et variantes (GPS, Glonass, Galiléo...), RFID, RCSF, SIG",création de noyau CE sous Plateforme Builder ,création de noyau IHM Android,présentation et mise en oeuvre sur processeurs spécialisés,,,,
EB04,TM,Systèmes temps réel embarqués,UV ing.,,C,24 h,TD,10 h,TP,36 h,THE,80 h,,,,,,,Printemps,,,UE réalisée à Reims,6 crédits,FRA,former les étudiants à la compilation croisée des noyaux Linux embarqué sur des plateformes embarqués de type ARM,former les étudiants à la création d'un système embarqué utilisant un noyau temps-réel open source à base de Linux de type RTLinux ou XENOMAI,,,,,"définition des logiciels/systèmes embarqués, définition de l'open source",définition et objectifs des systèmes d'exploitation dans l'embarqué,"système de gestion des fichiers dans Linux, méthodologie de création d'un Linux embarqué","définition et problématique du temps réel, fonctionnement des systèmes temps réel",structure et Rôle et importance d'un Système d'exploitation,"gestion du Multitâches, gestion de la mémoire","communication et synchronisation entre les tâches, gestion des taches et des interruptions",noyau temps réel Linux/XENOMAI : installation et paramétrage,comparaison des latences/performances de XENOMAI et Linux,"communication entre  XENOMAI  et Linux, installation de XENOMAI sur cible ARM (PANDABOARD)",applications indépendantes de la charge du système,
EC01,TM,Conception pour la soutenabilité,UV mast.,,C,28 h,TD,28 h,,,THE,94 h,,,,,,,Automne,,,Maîtrise du français : *** niveau C2,6 crédits,FRA,"concevoir un système (produit, service et système industriel) en prenant en compte les critères",environnementaux,,,,,,comprendre et analyser les différents enjeux liés à la conception des systèmes soutenables ,savoir construire une stratégie et démarche de conception pour la soutenabilité ,savoir décliner la démarche au niveau opérationnel (processus de conception),savoir faire une analyse permettant d'éviter les transferts de pollutions et les effets rebonds ,"savoir quand et comment mobiliser les outils, les méthodes et les ressources dans la démarche ",savoir proposer une solution et évaluer son efficacité,,,,,
EC02R,CT,Eco énergies,UV ing.,,C,20 h,TD,10 h,TP,40 h,,,,,,,,,Automne,Printemps,,UE réalisée à Reims,6 crédits,FRA,connaître les technologies émergentes de production d'électricité et comprendre les enjeux associés,savoir appréhender les principes permettant de convertir les énergies primaires renouvelables en énergie électrique,connaître les méthodes permettant d'adapter l'énergie électrique produite à partir de sources renouvelables aux besoins des utilisateurs et de contrôler le flux d'énergie,comprendre l'origine des contraintes imposées par l'intégration des sources renouvelables dans les réseaux électriques,,,panorama des moyens de production décentralisée d'électricité à partir de sources d'énergies renouvelables,"solaire photovoltaïque : Principe physique et technologies, modélisation, contrôle de la conversion, incidences des aléas climatiques","éolien : Principe physique et technologies, modélisation, contrôle de la conversion, incidences des aléas climatiques","hydroélectricité terrestre et marine : Retenues, houle et marées",vecteur hydrogène : Principes et technologies des piles à combustibles. Production et stockage de l'énergie,procédés de stockage de l'énergie électrique dans les micro-réseaux isolés,problématique et éléments de solutions pour l'intégration de la production décentralisée dans l¿outil de production et de transport de l'électricité,,,,,
